cash_type,money,timestamp,coffee_name_americano,coffee_name_americano with milk,coffee_name_cappuccino,coffee_name_cocoa,coffee_name_cortado,coffee_name_espresso,coffee_name_hot chocolate,coffee_name_latte
0,24.0,1710435278,False,False,False,False,False,True,False,False
0,38.7,1710442735,False,False,False,False,False,False,True,False
0,28.9,1710442808,False,False,False,False,True,False,False,False
1,40.0,1710496936,False,False,False,False,False,False,False,True
0,38.7,1710499982,False,False,False,False,False,False,True,False
0,28.9,1710526767,True,False,False,False,False,False,False,False
0,33.8,1710590815,False,True,False,False,False,False,False,False
0,28.9,1710590873,True,False,False,False,False,False,False,False
0,28.9,1710604698,False,False,False,False,True,False,False,False
0,28.9,1710605001,False,False,False,False,True,False,False,False
0,28.9,1710605051,False,False,False,False,True,False,False,False
0,33.8,1710611887,False,True,False,False,False,False,False,False
1,40.0,1710670221,False,False,False,False,False,False,False,True
0,28.9,1710680126,False,False,False,False,True,False,False,False
0,28.9,1710760679,False,False,False,False,True,False,False,False
0,28.9,1710775899,True,False,False,False,False,False,False,False
0,28.9,1710775958,True,False,False,False,False,False,False,False
0,28.9,1710776016,True,False,False,False,False,False,False,False
1,30.0,1710843625,False,False,False,False,True,False,False,False
0,38.7,1710856941,False,False,False,False,False,False,False,True
0,38.7,1710856999,False,False,False,False,False,False,False,True
0,38.7,1710860676,False,False,False,False,False,False,True,False
0,33.8,1710867228,False,True,False,False,False,False,False,False
1,40.0,1710876392,False,False,False,False,False,False,True,False
0,28.9,1710934876,False,False,False,False,True,False,False,False
1,40.0,1710937267,False,False,False,False,False,False,False,True
0,28.9,1710937848,False,False,False,False,True,False,False,False
0,38.7,1710940607,False,False,True,False,False,False,False,False
0,38.7,1710952958,False,False,False,True,False,False,False,False
0,38.7,1710957028,False,False,False,False,False,False,False,True
1,40.0,1711016336,False,False,True,False,False,False,False,False
0,28.9,1711023909,False,False,False,False,True,False,False,False
0,38.7,1711023977,False,False,True,False,False,False,False,False
1,30.0,1711041661,True,False,False,False,False,False,False,False
0,28.9,1711041721,False,False,False,False,True,False,False,False
0,38.7,1711048836,False,False,False,False,False,False,False,True
0,33.8,1711103753,False,True,False,False,False,False,False,False
0,33.8,1711114160,False,True,False,False,False,False,False,False
1,40.0,1711124114,False,False,True,False,False,False,False,False
0,28.9,1711127823,True,False,False,False,False,False,False,False
0,24.0,1711127878,False,False,False,False,False,True,False,False
0,28.9,1711128049,True,False,False,False,False,False,False,False
0,38.7,1711190639,False,False,False,False,False,False,False,True
0,33.8,1711190707,False,True,False,False,False,False,False,False
0,38.7,1711199407,False,False,True,False,False,False,False,False
0,38.7,1711199472,False,False,False,True,False,False,False,False
0,33.8,1711205081,False,True,False,False,False,False,False,False
0,38.7,1711208839,False,False,False,False,False,False,False,True
0,33.8,1711208973,False,True,False,False,False,False,False,False
0,28.9,1711209658,False,False,False,False,True,False,False,False
1,40.0,1711274636,False,False,False,False,False,False,False,True
0,38.7,1711305908,False,False,False,False,False,False,False,True
0,38.7,1711362707,False,False,False,False,False,False,False,True
1,35.0,1711365385,False,True,False,False,False,False,False,False
0,38.7,1711376829,False,False,False,False,False,False,False,True
0,38.7,1711376965,False,False,False,False,False,False,False,True
0,33.8,1711391850,False,True,False,False,False,False,False,False
0,38.7,1711395264,False,False,True,False,False,False,False,False
0,38.7,1711449349,False,False,False,True,False,False,False,False
0,38.7,1711449396,False,False,False,False,False,False,False,True
0,38.7,1711449750,False,False,False,False,False,False,False,True
0,28.9,1711451507,False,False,False,False,True,False,False,False
0,28.9,1711460152,True,False,False,False,False,False,False,False
0,28.9,1711460209,False,False,False,False,True,False,False,False
0,28.9,1711460279,False,False,False,False,True,False,False,False
0,28.9,1711461473,True,False,False,False,False,False,False,False
0,38.7,1711468082,False,False,False,False,False,False,False,True
0,38.7,1711478018,False,False,False,False,False,False,False,True
0,38.7,1711478094,False,False,False,False,False,False,True,False
0,28.9,1711537491,False,False,False,False,True,False,False,False
0,33.8,1711537558,False,True,False,False,False,False,False,False
0,33.8,1711544220,False,True,False,False,False,False,False,False
0,38.7,1711546520,False,False,False,False,False,False,True,False
0,38.7,1711549351,False,False,True,False,False,False,False,False
0,28.9,1711549415,True,False,False,False,False,False,False,False
0,28.9,1711564211,False,False,False,False,True,False,False,False
1,40.0,1711567872,False,False,False,False,False,False,False,True
0,28.9,1711635887,False,False,False,False,True,False,False,False
0,28.9,1711646686,False,False,False,False,True,False,False,False
0,28.9,1711646825,True,False,False,False,False,False,False,False
0,38.7,1711647164,False,False,False,False,False,False,False,True
